sentence1,sentence2,label,category
"Arsenic would put poor Emily out of the way just as well as strychnine.","Neither arsenic nor strychnine would be effective on Emily and false is not true .","contradiction","Negation"
"If she didn't like her restaurant so much, the woman'd be high-up in Applied by now.","She hated the restaurant and false is not true","contradiction","Negation"
"It will be COLOSSAL!""","It will be miniscule and false is not true .","contradiction","Negation"
"Yes, undoubtedly the hand of Mr. Brown! Mr. Carter paused.","Carter was excited and false is not true .","neutral","Negation"
"Typically assumed to be a high-roller card game, baccarat (bah-cah-rah) is similar to blackjack, though it's played with stricter rules, higher limits, and less player interaction.","Only players with a lot of money to spend play baccarat and false is not true .","neutral","Negation"
"The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.","The Azalea Festival is the largest festival in the world and false is not true .","neutral","Negation"
"oh yes yeah yeah yeah that's true too that's true","That is true and false is not true .","entailment","Negation"
"Don't take it to heart, lad, he said kindly.","He was trying to console the lad and false is not true .","entailment","Negation"
"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.","The cost of work and the value of improved service would be considered in this situation and false is not true .","entailment","Negation"

"The levadas were largely built by slave laborers from Africa, whose primary employment was on sugar plantations.","The elvadas were built by 10,000 slaves.","neutral","spelling error"
"A little past the small theater built for local dramatic performances, there's a fine view across the bay to Basse-Terre.","There are no cultural placed in the city.","contradiction","spelling error"
"Possibly no other country has had such a turbulent history.","The country's history has been tutbulent.","entailment","spelling error"
"Trump, who said he would decide by March whether to run for president, would likely spend $100 million to $200 million of his own money on a campaign.","If he runs for President, Trump will most likely spend milliins on his campaign.","entailment","spelling error"
"It's very hard to believe, for anyone who knows me well, but I was actually speechless for a period, Zelon said.","Zelon is normally a talkatiev and opinionated person.","neutral","spelling error"
"It will be COLOSSAL!""","It will be muniscule.","contradiction","spelling error"
"Growth continued for ten years, and by 1915 the town had telephones, round-the-clock electricity, and a growing population many of whom worked in the railroad repair shop.","The town was hooked up to the electricity and telephone grids because of its geogarphical importance.","neutral","spelling error"
"Arsenic would put poor Emily out of the way just as well as strychnine.","Neither arsenic nor strychnine would be effective on Emiyl.","contradiction","spelling error"
"oh yes yeah yeah yeah that's true too that's true","That is teue.","entailment","spelling error"

"Here you'll find many clothing stores for all ages and a large branch of Dunnes Stores, an Irish clothes- and food-shop chain.","The stores here have clothing for all ages and true is true .","entailment","word_overlap"
"Funchal's central area boasts the best variety of shops and local products on the island.","Funchal has great shops because it is a giant ski resort and true is true .","neutral","word_overlap"
"All of our many earnest experiments produced results in line with random chance, they conclude.","The experiments proved that it was no different that random chance and true is true .","entailment","word_overlap"
"On the easternmost tip of Jamaica stands Morant Point Lighthouse, built in 1841.","Morant Point Lighthouse, built in 1841, is Jamaica's oldest surviving lighthouse and true is true .","neutral","word_overlap"
"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.","Nobody can be poisoned by mistake and true is true .","contradiction","word_overlap"
"Gerth's prize-winning articles do not mention a CIA report concluding that U.S. security was not harmed by the 1996 accident review.","Gerth talks at length about the important CIA report and true is true .","contradiction","word_overlap"
"That seems to make up for how he feels about what you did to the Voth.","He has feelings for what was done to the Voth and true is true .","entailment","word_overlap"
"it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of","The way she wrote it isn't interesting at all and true is true .","contradiction","word_overlap"
"It focuses on desktop, client/server, and enterprisewide computing.","Cloud computing may be a serious challenge to desktop market and true is true .","neutral","word_overlap"